DATE,TATASTEEL
11-01-2010,591.9
12-01-2010,613.55
11-02-2010,599.05
12-02-2010,622.75
11-03-2010,609.6
12-03-2010,614.55
11-04-2010,621.5
11-05-2010,623.55
12-06-2010,635.05
12-07-2010,639.35
11-08-2010,633.2
12-08-2010,624.25
11-09-2010,641.3
12-09-2010,604.55
11-10-2010,637.4
12-10-2010,619
19-10-2010,633.15
20-10-2010,615.7
21-10-2010,628.4
22-10-2010,617.5
25-10-2010,620.25
26-10-2010,605.65
27-10-2010,614.9
28-10-2010,603.85
29-10-2010,589.4
11-11-2010,631.05
15-11-2010,618.3
16-11-2010,605.95
18-11-2010,623.45
19-11-2010,606.05
22-11-2010,624.85
23-11-2010,612.15
24-11-2010,616.6
25-11-2010,602.7
26-11-2010,598.8
29-11-2010,591.85
30-11-2010,584.8
11-12-2010,606.95
13-12-2010,631
14-12-2010,646.6
15-12-2010,642.75
16-12-2010,660.4
20-12-2010,666.4
21-12-2010,676.2
22-12-2010,672.9
23-12-2010,661.35
24-12-2010,672.85
27-12-2010,662.55
28-12-2010,665
29-12-2010,668.05
30-12-2010,672.75
31-12-2010,680.4
02-01-2011,631.75
03-01-2011,634.45
04-01-2011,626.6
06-01-2011,582.3
07-01-2011,602.3
08-01-2011,573.8
11-01-2011,472
12-01-2011,402.65
13-01-2011,637.55
14-01-2011,622.45
17-01-2011,625.65
18-01-2011,632.6
19-01-2011,639.6
20-01-2011,634.2
21-01-2011,629.55
24-01-2011,649.25
25-01-2011,655.35
27-01-2011,650.1
28-01-2011,637.45
31-01-2011,639.7
02-02-2011,626.25
05-02-2011,614.65
06-02-2011,574.9
08-02-2011,564.4
09-02-2011,490.1
11-02-2011,467.85
12-02-2011,419.1
14-02-2011,620.25
15-02-2011,616.6
16-02-2011,641.4
17-02-2011,655.1
18-02-2011,638.35
21-02-2011,637.45
22-02-2011,624.35
23-02-2011,627
24-02-2011,602.65
25-02-2011,606.85
28-02-2011,607.15
01-03-2011,704.05
02-03-2011,638.1
03-03-2011,624.4
05-03-2011,603.25
06-03-2011,573.25
08-03-2011,563.35
10-03-2011,394.65
11-03-2011,461.7
14-03-2011,601.1
15-03-2011,593.3
16-03-2011,599.55
17-03-2011,592.7
18-03-2011,597.15
21-03-2011,601.45
22-03-2011,604.8
23-03-2011,610.4
24-03-2011,609.75
25-03-2011,615.45
28-03-2011,613.4
29-03-2011,612.9
30-03-2011,615.8
31-03-2011,622.25
01-04-2011,694.7
02-04-2011,635.9
03-04-2011,618.2
04-04-2011,631.15
05-04-2011,589.75
07-04-2011,597.5
08-04-2011,557.75
10-04-2011,397.55
11-04-2011,467.15
13-04-2011,636.4
15-04-2011,630.6
18-04-2011,612.1
19-04-2011,609.4
20-04-2011,624.5
21-04-2011,630.05
25-04-2011,626.7
26-04-2011,627.4
27-04-2011,620.05
28-04-2011,613.45
29-04-2011,616.5
01-05-2011,680.95
04-05-2011,635.2
05-05-2011,583.05
07-05-2011,597.4
08-05-2011,532.95
09-05-2011,494.7
10-05-2011,400.6
12-05-2011,411.15
13-05-2011,594
16-05-2011,577.8
17-05-2011,573.95
18-05-2011,571.7
19-05-2011,562.75
20-05-2011,579.55
23-05-2011,559.4
24-05-2011,566.5
25-05-2011,561.2
26-05-2011,574.15
27-05-2011,585.2
30-05-2011,579.3
31-05-2011,589
01-06-2011,683.3
04-06-2011,634.4
05-06-2011,594.5
06-06-2011,567.9
07-06-2011,597.85
09-06-2011,495.45
13-06-2011,562.95
14-06-2011,561
15-06-2011,561.4
16-06-2011,553.25
17-06-2011,573.05
20-06-2011,561.15
21-06-2011,558.2
22-06-2011,558.1
23-06-2011,556.55
24-06-2011,578.95
27-06-2011,589.35
28-06-2011,587.25
29-06-2011,601.6
30-06-2011,610.25
01-07-2011,661.25
02-07-2011,640.4
03-07-2011,602.75
04-07-2011,638.35
06-07-2011,577.95
07-07-2011,606.7
09-07-2011,498.5
10-07-2011,419.7
12-07-2011,417.55
13-07-2011,575
14-07-2011,576.55
15-07-2011,572.95
18-07-2011,571.6
19-07-2011,576.4
20-07-2011,575.45
21-07-2011,573.35
22-07-2011,584.25
25-07-2011,591.25
26-07-2011,583.35
27-07-2011,579.85
28-07-2011,568.65
29-07-2011,564
02-08-2011,619.7
03-08-2011,616
04-08-2011,629.85
06-08-2011,577.7
07-08-2011,594.9
08-08-2011,509.1
09-08-2011,491.35
